Rank;Country;Big Mac Price in US Dollars
1;Switzerland;6.8
2;Norway;6.2
3;Sweden;6.1
4;Finland;5.6
5;United States;5.3
6;Canada;5.3
7;France;5.1
8;Italy;5.1
9;Brazil;5.1
10;Belgium;5.0
11;Ireland;5.0
12;Denmark;4.9
13;Uruguay;4.9
14;Euro area;4.8
15;Spain;4.8
16;Israel;4.8
17;Germany;4.8
18;Australia;4.7
19;Netherlands;4.5
20;New Zealand;4.5
21;Britain;4.4
22;Singapore;4.4
23;Chile;4.3
24;Austria;4.2
25;South Korea;4.1
26;Greece;4.1
27;Costa Rica;4.0
28;Argentina;4.0
29;Portugal;3.9
30;Estonia;3.9
31;Colombia;3.8
32;UAE;3.8
33;Czech Republic;3.8
34;Sri Lanka;3.8
35;Thailand;3.7
36;Japan;3.4
37;Lithuania;3.4
38;Hungary;3.4
39;Pakistan;3.4
40;Latvia;3.3
41;Peru;3.3
42;Saudi Arabia;3.2
43;China;3.2
44;Poland;3.0
45;Vietnam;2.9
46;Turkey;2.8
47;India;2.8
48;Indonesia;2.7
49;Philippines;2.6
50;Hong Kong;2.6
51;Mexico;2.6
52;South Africa;2.4
53;Taiwan;2.3
54;Russia;2.3
55;Malaysia;2.3
56;Egypt;1.9
57;Ukraine;1.6
