"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"","
"Aruba,""ABW"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Afghanistan,""AFG"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""8.8"",""9.51"",""10.39"",""11.46"",""12.43"",""13.49"",""14.81"",""15.99"",""17.44"",""18.84"",""20.68"",""22.33"",""24.08"",""26.17"",""27.99"",""30.1"",""32.44"","""","""","
"Angola,""AGO"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""37.27"",""37.96"",""38.49"",""39.24"",""39.94"",""40.75"",""41.39"",""41.91"",""42.58"",""43.32"",""44.1"",""44.8"",""45.36"",""46.15"",""46.67"",""47.36"",""48.05"","""","""","
"Albania,""ALB"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""39.8"",""42.7"",""45.23"",""47.62"",""50.53"",""53.25"",""55.57"",""58.14"",""60.75"",""63.24"",""65.23"",""67.81"",""69.96"",""71.78"",""73.98"",""75.37"",""77.42"","""","""","
"Andorra,""AND"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"",""100"","""","""","
"Arab World,""ARB"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""73.7024952410123"",""74.9448598519863"",""76.258066118796"",""77.1204636192376"",""78.0944398272737"",""79.0619995188412"",""79.8516810577971"",""80.5705358855522"",""81.2108864012014"",""81.8096301961218"",""82.3681005003581"",""82.7832893479895"",""83.1203026921402"",""83.5334568240335"",""83.897596049788"",""84.1715990242825"",""84.5101712472629"","""","""","
"United Arab Emirates,""ARE"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""96.57"",""97"",""97.21"",""97.53"",""97.74"",""97.96"",""98.09"",""98.14"",""98.34"",""98.44"",""98.4"",""98.47"",""98.5"",""98.55"",""98.58"",""98.63"",""98.51"","""","""","
"Argentina,""ARG"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""94.8"",""95.21"",""95.62"",""96.02"",""96.28"",""96.68"",""96.84"",""97.02"",""97.34"",""97.49"",""97.63"",""97.82"",""97.94"",""98.1"",""98.16"",""98.29"",""98.4"","""","""","
"Armenia,""ARM"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""81.97"",""83.79"",""85.48"",""86.88"",""88.6"",""89.72"",""90.91"",""91.67"",""92.55"",""93.33"",""94.04"",""94.77"",""95.1"",""95.69"",""96.12"",""96.62"",""96.9"","""","""","
"American Samoa,""ASM"",""Access to clean fuels and technologies for cooking (% of population)"",""EG.CFT.ACCS.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
